symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Amygdala,97.605,99
MAP3K10,Dark,Brain - Amygdala,79.195,98
CAMKV,Dark,Brain - Amygdala,55.895,97
NRBP2,Dark,Brain - Amygdala,54.42,97
CDK16,Dark,Brain - Amygdala,44.235,96
PRKACB,Dark,Brain - Amygdala,48.51,96
CDC42BPB,Dark,Brain - Amygdala,41.25,94
CSNK1G2,Dark,Brain - Amygdala,33.675,92
SCYL1,Dark,Brain - Amygdala,33.835,92
CAMKK2,Dark,Brain - Amygdala,31.26,91
PIP5K1C,Dark,Brain - Amygdala,32.195,91
MAST3,Dark,Brain - Amygdala,27.53,90
