symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Anterior cingulate cortex (BA24),168,100
MAP3K10,Dark,Brain - Anterior cingulate cortex (BA24),101.5,99
CAMKV,Dark,Brain - Anterior cingulate cortex (BA24),94.8,98
CDK16,Dark,Brain - Anterior cingulate cortex (BA24),61.3,96
PI4KA,Dark,Brain - Anterior cingulate cortex (BA24),57.51,96
PRKACB,Dark,Brain - Anterior cingulate cortex (BA24),55.81,95
CAMKK2,Dark,Brain - Anterior cingulate cortex (BA24),51.61,94
NRBP2,Dark,Brain - Anterior cingulate cortex (BA24),51.92,94
CDC42BPB,Dark,Brain - Anterior cingulate cortex (BA24),49.29,93
PIP5K1C,Dark,Brain - Anterior cingulate cortex (BA24),49.18,93
SCYL1,Dark,Brain - Anterior cingulate cortex (BA24),44.08,92
CSNK1G2,Dark,Brain - Anterior cingulate cortex (BA24),42.14,91
CAMKK1,Dark,Brain - Anterior cingulate cortex (BA24),37.6,90
MAST3,Dark,Brain - Anterior cingulate cortex (BA24),37.71,90
