symbol,class,tissue_type,TPM,kinase_percentile
CAMKV,Dark,Brain - Caudate (basal ganglia),137.1,100
BRSK1,Dark,Brain - Caudate (basal ganglia),81.49,98
MAP3K10,Dark,Brain - Caudate (basal ganglia),63.705,97
MAPK4,Dark,Brain - Caudate (basal ganglia),53.255,96
NRBP2,Dark,Brain - Caudate (basal ganglia),52.765,96
PRKACB,Dark,Brain - Caudate (basal ganglia),46.745,95
CAMKK2,Dark,Brain - Caudate (basal ganglia),44.23,94
LMTK3,Dark,Brain - Caudate (basal ganglia),39.295,92
CAMKK1,Dark,Brain - Caudate (basal ganglia),36.835,91
CDC42BPB,Dark,Brain - Caudate (basal ganglia),37.98,91
MAST3,Dark,Brain - Caudate (basal ganglia),37,91
SCYL1,Dark,Brain - Caudate (basal ganglia),37.57,91
PI4KA,Dark,Brain - Caudate (basal ganglia),35.655,90
