symbol,class,tissue_type,TPM,kinase_percentile
CAMKK2,Dark,Brain - Cerebellar Hemisphere,494.95,100
PIP5K1C,Dark,Brain - Cerebellar Hemisphere,184.1,99
BRSK1,Dark,Brain - Cerebellar Hemisphere,172.55,98
CLK4,Dark,Brain - Cerebellar Hemisphere,161.1,98
CDK16,Dark,Brain - Cerebellar Hemisphere,158.15,97
BRSK2,Dark,Brain - Cerebellar Hemisphere,134.4,96
MKNK2,Dark,Brain - Cerebellar Hemisphere,128.9,96
PRKACB,Dark,Brain - Cerebellar Hemisphere,133.8,96
NRBP2,Dark,Brain - Cerebellar Hemisphere,119.55,95
PI4KA,Dark,Brain - Cerebellar Hemisphere,104.3,94
MARK3,Dark,Brain - Cerebellar Hemisphere,102.25,93
SCYL1,Dark,Brain - Cerebellar Hemisphere,85.695,92
CAMKK1,Dark,Brain - Cerebellar Hemisphere,84.635,91
CSNK1G2,Dark,Brain - Cerebellar Hemisphere,82.755,91
MAP3K10,Dark,Brain - Cerebellar Hemisphere,82.84,91
CDC42BPB,Dark,Brain - Cerebellar Hemisphere,74.36,90
