symbol,class,tissue_type,TPM,kinase_percentile
CAMKK2,Dark,Brain - Cerebellum,450.3,100
BRSK1,Dark,Brain - Cerebellum,183.2,99
PIP5K1C,Dark,Brain - Cerebellum,196.5,99
CLK4,Dark,Brain - Cerebellum,171.3,98
BRSK2,Dark,Brain - Cerebellum,138.9,97
CDK16,Dark,Brain - Cerebellum,164.4,97
NRBP2,Dark,Brain - Cerebellum,149.7,97
MKNK2,Dark,Brain - Cerebellum,137.6,96
PI4KA,Dark,Brain - Cerebellum,111.6,94
CSNK1G2,Dark,Brain - Cerebellum,90.42,92
SBK1,Dark,Brain - Cerebellum,90.41,92
SCYL1,Dark,Brain - Cerebellum,88.34,92
MARK3,Dark,Brain - Cerebellum,85.86,91
PRKACB,Dark,Brain - Cerebellum,86.18,91
CAMKK1,Dark,Brain - Cerebellum,77.24,90
CDC42BPB,Dark,Brain - Cerebellum,81.27,90
MAP3K10,Dark,Brain - Cerebellum,81.15,90
