symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Cortex,217.35,100
CAMKV,Dark,Brain - Cortex,166.8,99
PI4KA,Dark,Brain - Cortex,124.45,99
MAP3K10,Dark,Brain - Cortex,118.8,98
CAMKK2,Dark,Brain - Cortex,106.25,97
CAMKK1,Dark,Brain - Cortex,86.19,96
MAST3,Dark,Brain - Cortex,84.68,96
CDK16,Dark,Brain - Cortex,80.225,95
NRBP2,Dark,Brain - Cortex,79.465,95
PIP5K1C,Dark,Brain - Cortex,83.62,95
CAMK1G,Dark,Brain - Cortex,66.98,92
CDC42BPB,Dark,Brain - Cortex,63.73,92
SCYL1,Dark,Brain - Cortex,67.605,92
BRSK2,Dark,Brain - Cortex,58.375,91
PRKACB,Dark,Brain - Cortex,59.155,91
CSNK1G2,Dark,Brain - Cortex,50.18,90
LMTK3,Dark,Brain - Cortex,50.475,90
