symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Frontal Cortex (BA9),208.1,100
CAMKV,Dark,Brain - Frontal Cortex (BA9),152.7,99
MAP3K10,Dark,Brain - Frontal Cortex (BA9),120.7,99
CAMKK2,Dark,Brain - Frontal Cortex (BA9),114.4,98
PRKACB,Dark,Brain - Frontal Cortex (BA9),110.6,98
PI4KA,Dark,Brain - Frontal Cortex (BA9),101.6,97
CAMKK1,Dark,Brain - Frontal Cortex (BA9),90.96,96
CDK16,Dark,Brain - Frontal Cortex (BA9),78.71,95
PIP5K1C,Dark,Brain - Frontal Cortex (BA9),74.41,94
CAMK1G,Dark,Brain - Frontal Cortex (BA9),65.95,93
SCYL1,Dark,Brain - Frontal Cortex (BA9),68.86,93
CAMK1D,Dark,Brain - Frontal Cortex (BA9),62.81,92
MAST3,Dark,Brain - Frontal Cortex (BA9),60.72,92
NRBP2,Dark,Brain - Frontal Cortex (BA9),60.04,91
BRSK2,Dark,Brain - Frontal Cortex (BA9),55.32,90
CDC42BPB,Dark,Brain - Frontal Cortex (BA9),59.21,90
