symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Hippocampus,119.2,99
MAP3K10,Dark,Brain - Hippocampus,72.58,99
CAMKV,Dark,Brain - Hippocampus,67.02,98
NRBP2,Dark,Brain - Hippocampus,61.82,97
CDK18,Dark,Brain - Hippocampus,50.3,96
PRKACB,Dark,Brain - Hippocampus,51.03,96
CDC42BPB,Dark,Brain - Hippocampus,43.55,95
CDK16,Dark,Brain - Hippocampus,38.98,93
CSNK1G2,Dark,Brain - Hippocampus,33.5,92
PIP5K1C,Dark,Brain - Hippocampus,34.36,92
SCYL1,Dark,Brain - Hippocampus,36.07,92
MAST3,Dark,Brain - Hippocampus,32.23,91
