symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Hypothalamus,90.29,100
PRKACB,Dark,Brain - Hypothalamus,77.25,99
NRBP2,Dark,Brain - Hypothalamus,54.18,97
CAMKV,Dark,Brain - Hypothalamus,49.03,96
CDC42BPB,Dark,Brain - Hypothalamus,43.85,94
SCYL1,Dark,Brain - Hypothalamus,40.71,93
MAP3K10,Dark,Brain - Hypothalamus,37.84,92
CDK18,Dark,Brain - Hypothalamus,36.89,91
CSNK1G2,Dark,Brain - Hypothalamus,33.55,91
CDK16,Dark,Brain - Hypothalamus,32.9,90
PI4KA,Dark,Brain - Hypothalamus,31.67,90
