symbol,class,tissue_type,TPM,kinase_percentile
CAMKV,Dark,Brain - Nucleus accumbens (basal ganglia),278,100
BRSK1,Dark,Brain - Nucleus accumbens (basal ganglia),100.5,99
MAP3K10,Dark,Brain - Nucleus accumbens (basal ganglia),75.34,97
PRKACB,Dark,Brain - Nucleus accumbens (basal ganglia),77.01,97
MAPK4,Dark,Brain - Nucleus accumbens (basal ganglia),49.63,94
PNCK,Dark,Brain - Nucleus accumbens (basal ganglia),50,94
LMTK3,Dark,Brain - Nucleus accumbens (basal ganglia),48,93
MAST3,Dark,Brain - Nucleus accumbens (basal ganglia),47.65,93
NRBP2,Dark,Brain - Nucleus accumbens (basal ganglia),49.55,93
PI4KA,Dark,Brain - Nucleus accumbens (basal ganglia),49.21,93
CAMK1G,Dark,Brain - Nucleus accumbens (basal ganglia),47.48,92
CAMKK1,Dark,Brain - Nucleus accumbens (basal ganglia),44.34,91
CDC42BPB,Dark,Brain - Nucleus accumbens (basal ganglia),42.83,91
SCYL1,Dark,Brain - Nucleus accumbens (basal ganglia),41.71,91
CDK17,Dark,Brain - Nucleus accumbens (basal ganglia),39.73,90
