symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Putamen (basal ganglia),74.33,99
CAMKV,Dark,Brain - Putamen (basal ganglia),89.58,99
MAP3K10,Dark,Brain - Putamen (basal ganglia),59.465,97
NRBP2,Dark,Brain - Putamen (basal ganglia),44.05,96
MAPK4,Dark,Brain - Putamen (basal ganglia),37.385,95
PRKACB,Dark,Brain - Putamen (basal ganglia),36.995,94
CAMKK2,Dark,Brain - Putamen (basal ganglia),34.77,93
CDC42BPB,Dark,Brain - Putamen (basal ganglia),34.395,93
LMTK3,Dark,Brain - Putamen (basal ganglia),30.325,92
SCYL1,Dark,Brain - Putamen (basal ganglia),30.92,92
CDK16,Dark,Brain - Putamen (basal ganglia),27.96,90
CDK18,Dark,Brain - Putamen (basal ganglia),28.995,90
MAST3,Dark,Brain - Putamen (basal ganglia),27.59,90
