symbol,class,tissue_type,TPM,kinase_percentile
BRSK1,Dark,Brain - Substantia nigra,72.685,99
CDK18,Dark,Brain - Substantia nigra,86.145,99
NRBP2,Dark,Brain - Substantia nigra,71.12,98
PRKACB,Dark,Brain - Substantia nigra,45.615,97
CDC42BPB,Dark,Brain - Substantia nigra,39.805,95
SCYL1,Dark,Brain - Substantia nigra,33.48,94
CDK16,Dark,Brain - Substantia nigra,31.72,93
MAP3K10,Dark,Brain - Substantia nigra,31.89,93
PXK,Dark,Brain - Substantia nigra,31.725,93
CSNK1G2,Dark,Brain - Substantia nigra,26.625,90
NEK7,Dark,Brain - Substantia nigra,27.48,90
