symbol,class,tissue_type,TPM,kinase_percentile
SCYL1,Dark,Cells - Transformed fibroblasts,93.82,96
CDC42BPB,Dark,Cells - Transformed fibroblasts,75.43,95
NEK9,Dark,Cells - Transformed fibroblasts,74.18,94
PIP5K1A,Dark,Cells - Transformed fibroblasts,73.99,94
CDK16,Dark,Cells - Transformed fibroblasts,61.11,93
MKNK2,Dark,Cells - Transformed fibroblasts,62.8,93
NEK6,Dark,Cells - Transformed fibroblasts,62.5,93
NRBP2,Dark,Cells - Transformed fibroblasts,60.37,92
BCKDK,Dark,Cells - Transformed fibroblasts,56.31,91
CSNK1G2,Dark,Cells - Transformed fibroblasts,54.83,90
