symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Esophagus - Gastroesophageal Junction,137.25,98
NRBP2,Dark,Esophagus - Gastroesophageal Junction,132.5,98
SCYL1,Dark,Esophagus - Gastroesophageal Junction,87.615,96
PIP5K1C,Dark,Esophagus - Gastroesophageal Junction,79.765,95
MAST2,Dark,Esophagus - Gastroesophageal Junction,68.97,94
NEK9,Dark,Esophagus - Gastroesophageal Junction,73.705,94
CDC42BPB,Dark,Esophagus - Gastroesophageal Junction,66.685,93
HIPK3,Dark,Esophagus - Gastroesophageal Junction,56.085,92
TESK1,Dark,Esophagus - Gastroesophageal Junction,57.745,92
STK40,Dark,Esophagus - Gastroesophageal Junction,51.935,91
