symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Heart - Left Ventricle,56.13,97
ALPK3,Dark,Heart - Left Ventricle,46.09,96
CDK16,Dark,Heart - Left Ventricle,41.1,96
CDK18,Dark,Heart - Left Ventricle,46.38,96
NEK7,Dark,Heart - Left Ventricle,43.31,96
BCKDK,Dark,Heart - Left Ventricle,36.98,95
OBSCN,Dark,Heart - Left Ventricle,35.37,95
MAST2,Dark,Heart - Left Ventricle,32.63,94
SCYL1,Dark,Heart - Left Ventricle,32.4,94
MARK3,Dark,Heart - Left Ventricle,28.75,93
NEK9,Dark,Heart - Left Ventricle,27.34,92
ALPK2,Dark,Heart - Left Ventricle,23.62,91
CDC42BPB,Dark,Heart - Left Ventricle,23.23,91
WNK2,Dark,Heart - Left Ventricle,23.09,91
HIPK3,Dark,Heart - Left Ventricle,22.68,90
