symbol,class,tissue_type,TPM,kinase_percentile
MKNK2,Dark,Muscle - Skeletal,771.9,100
ALPK3,Dark,Muscle - Skeletal,159.1,99
OBSCN,Dark,Muscle - Skeletal,213.05,99
PHKG1,Dark,Muscle - Skeletal,105.05,98
MAST2,Dark,Muscle - Skeletal,100.3,97
CDK16,Dark,Muscle - Skeletal,65.315,95
DYRK1B,Dark,Muscle - Skeletal,69.395,95
SCYL1,Dark,Muscle - Skeletal,72.535,95
STK40,Dark,Muscle - Skeletal,60.835,94
PRKCQ,Dark,Muscle - Skeletal,49.435,92
RIOK3,Dark,Muscle - Skeletal,45.5,92
NEK9,Dark,Muscle - Skeletal,43.035,91
SRPK3,Dark,Muscle - Skeletal,44.485,91
TESK1,Dark,Muscle - Skeletal,43.53,91
BCKDK,Dark,Muscle - Skeletal,40.39,90
HIPK3,Dark,Muscle - Skeletal,41.725,90
