symbol,class,tissue_type,TPM,kinase_percentile
TSSK6,Dark,Testis,317.4,100
CSNK1G2,Dark,Testis,195.4,99
DYRK1B,Dark,Testis,167.7,99
PHKG2,Dark,Testis,126.8,98
TESK1,Dark,Testis,122.4,98
VRK3,Dark,Testis,132.2,98
PIP5K1C,Dark,Testis,116.9,97
SCYL1,Dark,Testis,106.7,97
CSNK2A2,Dark,Testis,97.55,96
MAST2,Dark,Testis,104.8,96
PKMYT1,Dark,Testis,92.16,95
STK36,Dark,Testis,89.01,95
STK40,Dark,Testis,88.24,95
CDK16,Dark,Testis,74.03,94
STK31,Dark,Testis,78.38,94
MKNK2,Dark,Testis,70.8,93
PIP5K1A,Dark,Testis,70.71,93
DYRK4,Dark,Testis,63.92,91
MARK4,Dark,Testis,63.29,91
NEK9,Dark,Testis,62.08,91
CDC42BPB,Dark,Testis,59.32,90
PRKACG,Dark,Testis,59.98,90
TSSK4,Dark,Testis,60.66,90
