symbol,Disease_Trait,link
ADCK1,Fibroblast growth factor basic levels,www.ncbi.nlm.nih.gov/pubmed/27989323
ADCK1,Interleukin-17 levels,www.ncbi.nlm.nih.gov/pubmed/27989323
ADCK1,Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 1 peripheral neuropathy),www.ncbi.nlm.nih.gov/pubmed/24554482
ADCK1,Response to paliperidone in schizophrenia (CGI-S score),www.ncbi.nlm.nih.gov/pubmed/27846195
ADCK1,Response to paliperidone in schizophrenia (positive Marder score),www.ncbi.nlm.nih.gov/pubmed/27846195
ADCK1,Response to paliperidone in schizophrenia (PANSS score),www.ncbi.nlm.nih.gov/pubmed/27846195
ADCK1,Response to paliperidone in schizophrenia (Multivariate),www.ncbi.nlm.nih.gov/pubmed/27846195
ADCK1,Resting heart rate,www.ncbi.nlm.nih.gov/pubmed/27798624
ADCK1,Menarche (age at onset),www.ncbi.nlm.nih.gov/pubmed/30595370
ADCK1,Obsessive-compulsive disorder,www.ncbi.nlm.nih.gov/pubmed/30456828
