symbol,Disease_Trait,link
CAMK1D,Headache,www.ncbi.nlm.nih.gov/pubmed/29397368
CAMK1D,Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis,www.ncbi.nlm.nih.gov/pubmed/26980576
CAMK1D,Response to efavirenz-containing treatment in HIV 1 infection (virologic failure),www.ncbi.nlm.nih.gov/pubmed/25461247
CAMK1D,Calcium levels,www.ncbi.nlm.nih.gov/pubmed/25886283
CAMK1D,3-hydroxy-1-methylpropylmercapturic acid levels in smokers,www.ncbi.nlm.nih.gov/pubmed/26053186
CAMK1D,Obesity-related traits,www.ncbi.nlm.nih.gov/pubmed/23251661
CAMK1D,Asymmetrical dimethylarginine levels,www.ncbi.nlm.nih.gov/pubmed/24159190
CAMK1D,Educational attainment,www.ncbi.nlm.nih.gov/pubmed/25201988
CAMK1D,Eating disorders,www.ncbi.nlm.nih.gov/pubmed/23568457
CAMK1D,Anorexia nervosa,www.ncbi.nlm.nih.gov/pubmed/23568457
CAMK1D,QT interval (drug interaction),www.ncbi.nlm.nih.gov/pubmed/23459443
CAMK1D,Height,www.ncbi.nlm.nih.gov/pubmed/20881960
CAMK1D,Coronary artery aneurysm in Kawasaki disease,www.ncbi.nlm.nih.gov/pubmed/27171184
CAMK1D,Borderline personality disorder,www.ncbi.nlm.nih.gov/pubmed/28632202
CAMK1D,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
CAMK1D,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
CAMK1D,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
CAMK1D,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
CAMK1D,Lung function (FEV1/FVC),www.ncbi.nlm.nih.gov/pubmed/30595370
