symbol,Disease_Trait,link
CDC42BPA,Neutrophil percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
CDC42BPA,Myeloid white cell count,www.ncbi.nlm.nih.gov/pubmed/27863252
CDC42BPA,Optic disc area,www.ncbi.nlm.nih.gov/pubmed/25631615
CDC42BPA,Optic cup area,www.ncbi.nlm.nih.gov/pubmed/25631615
CDC42BPA,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/28135244
CDC42BPA,Macular thickness,www.ncbi.nlm.nih.gov/pubmed/30535121
CDC42BPA,Blond vs. brown/black hair color,www.ncbi.nlm.nih.gov/pubmed/30531825
CDC42BPA,Hair color,www.ncbi.nlm.nih.gov/pubmed/30595370
CDC42BPA,Smoking status (ever vs never smokers),www.ncbi.nlm.nih.gov/pubmed/30643258
CDC42BPA,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
CDC42BPA,Smoking status,www.ncbi.nlm.nih.gov/pubmed/30595370
