symbol,Disease_Trait,link
CDK14,Myringotomy,www.ncbi.nlm.nih.gov/pubmed/28928442
CDK14,Hepatitis B virus-related hepatocellular carcinoma,www.ncbi.nlm.nih.gov/pubmed/29246937
CDK14,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,www.ncbi.nlm.nih.gov/pubmed/28429243
CDK14,Growth-regulated protein alpha levels,www.ncbi.nlm.nih.gov/pubmed/27989323
CDK14,Serum thyroid-stimulating hormone levels,www.ncbi.nlm.nih.gov/pubmed/25436638
CDK14,Cephalic index,www.ncbi.nlm.nih.gov/pubmed/29698431
CDK14,Adolescent idiopathic scoliosis,www.ncbi.nlm.nih.gov/pubmed/30019117
CDK14,Blond vs. brown/black hair color,www.ncbi.nlm.nih.gov/pubmed/30531825
CDK14,Circulating fibroblast growth factor 23 levels,www.ncbi.nlm.nih.gov/pubmed/30217807
CDK14,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/30224653
CDK14,DNA methylation variation (age effect),www.ncbi.nlm.nih.gov/pubmed/30348214
CDK14,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
CDK14,Hair color,www.ncbi.nlm.nih.gov/pubmed/30595370
CDK14,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30595370
