symbol,Disease_Trait,link
COQ8A,Neutrophil percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Granulocyte percentage of myeloid white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Lymphocyte percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Neutrophil count,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Granulocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Sum neutrophil eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Sum basophil neutrophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
COQ8A,Highest math class taken,www.ncbi.nlm.nih.gov/pubmed/30038396
COQ8A,Worry,www.ncbi.nlm.nih.gov/pubmed/29942085
COQ8A,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
