symbol,Disease_Trait,link
CSNK1G3,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/27618448
CSNK1G3,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/28869591
CSNK1G3,Total body bone mineral density,www.ncbi.nlm.nih.gov/pubmed/29304378
CSNK1G3,LDL cholesterol,www.ncbi.nlm.nih.gov/pubmed/24097068
CSNK1G3,"Cholesterol, total",www.ncbi.nlm.nih.gov/pubmed/24097068
CSNK1G3,LDL cholesterol levels,www.ncbi.nlm.nih.gov/pubmed/28334899
CSNK1G3,Total cholesterol levels,www.ncbi.nlm.nih.gov/pubmed/28334899
CSNK1G3,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30048462
CSNK1G3,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
CSNK1G3,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
CSNK1G3,Total cholesterol levels,www.ncbi.nlm.nih.gov/pubmed/29507422
CSNK1G3,Low density lipoprotein cholesterol levels,www.ncbi.nlm.nih.gov/pubmed/29507422
CSNK1G3,LDL cholesterol,www.ncbi.nlm.nih.gov/pubmed/30275531
