symbol,Disease_Trait,link
DSTYK,Reticulocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
DSTYK,Hair color,www.ncbi.nlm.nih.gov/pubmed/29662168
DSTYK,White blood cell count (basophil),www.ncbi.nlm.nih.gov/pubmed/27863252
DSTYK,Basophil percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
DSTYK,Platelet-derived growth factor BB levels,www.ncbi.nlm.nih.gov/pubmed/27989323
DSTYK,Red cell distribution width,www.ncbi.nlm.nih.gov/pubmed/27863252
DSTYK,Obesity-related traits,www.ncbi.nlm.nih.gov/pubmed/23251661
DSTYK,Blond vs. brown/black hair color,www.ncbi.nlm.nih.gov/pubmed/30531825
DSTYK,General risk tolerance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30643258
DSTYK,Hair color,www.ncbi.nlm.nih.gov/pubmed/30595370
DSTYK,Triglycerides,www.ncbi.nlm.nih.gov/pubmed/30275531
DSTYK,Red cell distribution width,www.ncbi.nlm.nih.gov/pubmed/30595370
DSTYK,Waist-hip ratio,www.ncbi.nlm.nih.gov/pubmed/30595370
