symbol,Disease_Trait,link
MAP3K14,Hand grip strength,www.ncbi.nlm.nih.gov/pubmed/29691431
MAP3K14,Multiple sclerosis,www.ncbi.nlm.nih.gov/pubmed/21833088
MAP3K14,Multiple sclerosis and LDL levels (pleiotropy),www.ncbi.nlm.nih.gov/pubmed/26920376
MAP3K14,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
MAP3K14,Cognitive performance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
MAP3K14,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
MAP3K14,Cognitive performance,www.ncbi.nlm.nih.gov/pubmed/30038396
MAP3K14,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
MAP3K14,Balding type 1,www.ncbi.nlm.nih.gov/pubmed/30595370
MAP3K14,Lung function (FVC),www.ncbi.nlm.nih.gov/pubmed/30595370
MAP3K14,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
MAP3K14,Eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/30595370
MAP3K14,Waist-hip ratio,www.ncbi.nlm.nih.gov/pubmed/30595370
