symbol,Disease_Trait,link
MAPK4,Large HDL particle concentration,www.ncbi.nlm.nih.gov/pubmed/29084231
MAPK4,Phospholipid levels in large HDL,www.ncbi.nlm.nih.gov/pubmed/29084231
MAPK4,Phospholipid levels in medium HDL,www.ncbi.nlm.nih.gov/pubmed/29084231
MAPK4,Myeloid white cell count,www.ncbi.nlm.nih.gov/pubmed/27863252
MAPK4,Neutrophil count,www.ncbi.nlm.nih.gov/pubmed/27863252
MAPK4,3-hydroxypropylmercapturic acid levels in smokers,www.ncbi.nlm.nih.gov/pubmed/26053186
MAPK4,3-hydroxy-1-methylpropylmercapturic acid levels in smokers,www.ncbi.nlm.nih.gov/pubmed/26053186
MAPK4,Response to platinum-based chemotherapy (cisplatin),www.ncbi.nlm.nih.gov/pubmed/21844884
MAPK4,Granulocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
MAPK4,Sum neutrophil eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
MAPK4,Sum basophil neutrophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
MAPK4,Diisocyanate-induced asthma,www.ncbi.nlm.nih.gov/pubmed/25918132
MAPK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/28135244
MAPK4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
MAPK4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30595370
MAPK4,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
MAPK4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/27841878
MAPK4,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/27841878
