symbol,Disease_Trait,link
MARK3,Coronary artery disease,www.ncbi.nlm.nih.gov/pubmed/29212778
MARK3,Mean corpuscular hemoglobin,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK3,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/28869591
MARK3,Monocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK3,Endometriosis,www.ncbi.nlm.nih.gov/pubmed/28881265
MARK3,Granulocyte percentage of myeloid white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK3,Monocyte percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK3,Bone mineral density,www.ncbi.nlm.nih.gov/pubmed/22504420
MARK3,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30048462
MARK3,Blond vs. brown/black hair color,www.ncbi.nlm.nih.gov/pubmed/30531825
MARK3,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
MARK3,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30598549
MARK3,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30224653
MARK3,Cardiovascular disease,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK3,Mean corpuscular hemoglobin,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK3,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK3,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK3,Hair color,www.ncbi.nlm.nih.gov/pubmed/30595370
