symbol,Disease_Trait,link
MAST4,Coronary artery disease,www.ncbi.nlm.nih.gov/pubmed/29212778
MAST4,Mean platelet volume,www.ncbi.nlm.nih.gov/pubmed/27863252
MAST4,Seborrheic dermatitis,www.ncbi.nlm.nih.gov/pubmed/29203360
MAST4,Endometrioid ovarian cancer,www.ncbi.nlm.nih.gov/pubmed/28346442
MAST4,Interleukin-1-beta levels,www.ncbi.nlm.nih.gov/pubmed/27989323
MAST4,Platelet count,www.ncbi.nlm.nih.gov/pubmed/27863252
MAST4,Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid),www.ncbi.nlm.nih.gov/pubmed/26584805
MAST4,Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid),www.ncbi.nlm.nih.gov/pubmed/26584805
MAST4,Delta-6 desaturase activity,www.ncbi.nlm.nih.gov/pubmed/26584805
MAST4,Post bronchodilator FEV1,www.ncbi.nlm.nih.gov/pubmed/26634245
MAST4,Post bronchodilator FEV1/FVC ratio,www.ncbi.nlm.nih.gov/pubmed/26634245
MAST4,Generalized epilepsy,www.ncbi.nlm.nih.gov/pubmed/22949513
MAST4,Carotid atherosclerosis in HIV infection,www.ncbi.nlm.nih.gov/pubmed/20009918
MAST4,Childhood body mass index,www.ncbi.nlm.nih.gov/pubmed/26604143
MAST4,Selective IgA deficiency,www.ncbi.nlm.nih.gov/pubmed/27723758
MAST4,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
MAST4,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
MAST4,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
MAST4,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
MAST4,Cognitive performance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
MAST4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
MAST4,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
MAST4,Total hippocampal volume,www.ncbi.nlm.nih.gov/pubmed/30279459
MAST4,Hippocampal tail volume,www.ncbi.nlm.nih.gov/pubmed/30279459
MAST4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30224653
MAST4,Red cell distribution width,www.ncbi.nlm.nih.gov/pubmed/30595370
MAST4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30595370
