symbol,Disease_Trait,link
NEK6,Monocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
NEK6,Vitiligo,www.ncbi.nlm.nih.gov/pubmed/27723757
NEK6,Hair color,www.ncbi.nlm.nih.gov/pubmed/29662168
NEK6,Granulocyte percentage of myeloid white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
NEK6,Monocyte percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
NEK6,Polycystic ovary syndrome,www.ncbi.nlm.nih.gov/pubmed/26416764
NEK6,3-hydroxy-1-methylpropylmercapturic acid levels in smokers,www.ncbi.nlm.nih.gov/pubmed/26053186
NEK6,Cognitive performance,www.ncbi.nlm.nih.gov/pubmed/20125193
NEK6,Self-reported math ability,www.ncbi.nlm.nih.gov/pubmed/30038396
NEK6,Self-reported math ability (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
NEK6,Adolescent idiopathic scoliosis,www.ncbi.nlm.nih.gov/pubmed/30019117
NEK6,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30048462
NEK6,Free thyroxine concentration,www.ncbi.nlm.nih.gov/pubmed/30367059
NEK6,Blond vs. brown/black hair color,www.ncbi.nlm.nih.gov/pubmed/30531825
NEK6,Neurociticism,www.ncbi.nlm.nih.gov/pubmed/29500382
NEK6,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/30224653
NEK6,Autoimmune traits,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK6,Hypothyroidism,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK6,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30598549
NEK6,Male-pattern baldness,www.ncbi.nlm.nih.gov/pubmed/30573740
NEK6,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK6,Morning person,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK6,Eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK6,Hair color,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK6,Asthma exacerbations in inhaled corticosteroid treatment,www.ncbi.nlm.nih.gov/pubmed/30697902
