symbol,Disease_Trait,link
PIP5K1B,Glomerular filtration rate in non diabetics (creatinine),www.ncbi.nlm.nih.gov/pubmed/26831199
PIP5K1B,Glomerular filtration rate (creatinine),www.ncbi.nlm.nih.gov/pubmed/28452372
PIP5K1B,Pit-and-Fissure caries,www.ncbi.nlm.nih.gov/pubmed/23470693
PIP5K1B,Angiotensin-converting enzyme inhibitor intolerance,www.ncbi.nlm.nih.gov/pubmed/28030426
PIP5K1B,Glomerular filtration rate (creatinine),www.ncbi.nlm.nih.gov/pubmed/26831199
PIP5K1B,Chronic kidney disease,www.ncbi.nlm.nih.gov/pubmed/20383146
PIP5K1B,Glomerular filtration rate,www.ncbi.nlm.nih.gov/pubmed/27588450
PIP5K1B,Maximum cranial length,www.ncbi.nlm.nih.gov/pubmed/29698431
PIP5K1B,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
PIP5K1B,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
PIP5K1B,Estimated glomerular filtration rate,www.ncbi.nlm.nih.gov/pubmed/30604766
