symbol,Disease_Trait,link
PXK,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/27863252
PXK,Systemic sclerosis,www.ncbi.nlm.nih.gov/pubmed/24387989
PXK,Systemic lupus erythematosus,www.ncbi.nlm.nih.gov/pubmed/28714469
PXK,Hematocrit,www.ncbi.nlm.nih.gov/pubmed/27863252
PXK,Response to abacavir-containing treatment in HIV-1 infection (virologic failure),www.ncbi.nlm.nih.gov/pubmed/25461247
PXK,Systemic lupus erythematosus,www.ncbi.nlm.nih.gov/pubmed/18204446
PXK,"Cholesterol, total",www.ncbi.nlm.nih.gov/pubmed/24097068
PXK,Systemic lupus erythematosus and Systemic sclerosis,www.ncbi.nlm.nih.gov/pubmed/23740937
PXK,Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event),www.ncbi.nlm.nih.gov/pubmed/29310926
PXK,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30108127
PXK,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30598549
PXK,Total cholesterol levels,www.ncbi.nlm.nih.gov/pubmed/29507422
PXK,Low density lipoprotein cholesterol levels,www.ncbi.nlm.nih.gov/pubmed/29507422
PXK,LDL cholesterol,www.ncbi.nlm.nih.gov/pubmed/30275531
PXK,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
PXK,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30595370
