symbol,Disease_Trait,link
SBK1,Tonsillectomy,www.ncbi.nlm.nih.gov/pubmed/28928442
SBK1,Intelligence (MTAG),www.ncbi.nlm.nih.gov/pubmed/29326435
SBK1,Mosquito bite size,www.ncbi.nlm.nih.gov/pubmed/28199695
SBK1,Body mass index,www.ncbi.nlm.nih.gov/pubmed/26426971
SBK1,Hand grip strength,www.ncbi.nlm.nih.gov/pubmed/29691431
SBK1,Systemic lupus erythematosus,www.ncbi.nlm.nih.gov/pubmed/28714469
SBK1,Pediatric autoimmune diseases,www.ncbi.nlm.nih.gov/pubmed/26301688
SBK1,Hip circumference,www.ncbi.nlm.nih.gov/pubmed/25673412
SBK1,Tonsillectomy,www.ncbi.nlm.nih.gov/pubmed/27182965
SBK1,Waist circumference,www.ncbi.nlm.nih.gov/pubmed/25673412
SBK1,Body mass index in physically active individuals,www.ncbi.nlm.nih.gov/pubmed/28448500
SBK1,BMI (adjusted for smoking behaviour),www.ncbi.nlm.nih.gov/pubmed/28443625
SBK1,Body mass index (joint analysis main effects and smoking interaction),www.ncbi.nlm.nih.gov/pubmed/28443625
SBK1,BMI in non-smokers,www.ncbi.nlm.nih.gov/pubmed/28443625
SBK1,Body mass index,www.ncbi.nlm.nih.gov/pubmed/28448500
SBK1,Body mass index (joint analysis main effects and physical activity interaction),www.ncbi.nlm.nih.gov/pubmed/28448500
SBK1,Highest math class taken,www.ncbi.nlm.nih.gov/pubmed/30038396
SBK1,Intelligence,www.ncbi.nlm.nih.gov/pubmed/29942086
SBK1,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30108127
SBK1,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
