symbol,Disease_Trait,link
STK32B,Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes,www.ncbi.nlm.nih.gov/pubmed/29221444
STK32B,Mumps,www.ncbi.nlm.nih.gov/pubmed/28928442
STK32B,Response to abacavir-containing treatment in HIV-1 infection (virologic failure),www.ncbi.nlm.nih.gov/pubmed/25461247
STK32B,Electrocardiographic conduction measures,www.ncbi.nlm.nih.gov/pubmed/19389651
STK32B,Celiac disease,www.ncbi.nlm.nih.gov/pubmed/23936387
STK32B,Alzheimer's disease (cognitive decline),www.ncbi.nlm.nih.gov/pubmed/23535033
STK32B,Sensory disturbances after bilateral sagittal split ramus osteotomy,www.ncbi.nlm.nih.gov/pubmed/23834954
STK32B,Height,www.ncbi.nlm.nih.gov/pubmed/25282103
STK32B,Essential tremor,www.ncbi.nlm.nih.gov/pubmed/27797806
STK32B,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Highest math class taken,www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Cognitive performance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Self-reported math ability (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Alzheimer's disease progression score,www.ncbi.nlm.nih.gov/pubmed/29860282
STK32B,Self-reported math ability,www.ncbi.nlm.nih.gov/pubmed/30038396
STK32B,Diffusing capacity of the lung for carbon monoxide traits,www.ncbi.nlm.nih.gov/pubmed/30049742
STK32B,Blood protein levels,www.ncbi.nlm.nih.gov/pubmed/30072576
STK32B,DNA methylation variation (age effect),www.ncbi.nlm.nih.gov/pubmed/30348214
