symbol,Disease_Trait,link
STK33,Small cell lung carcinoma,www.ncbi.nlm.nih.gov/pubmed/28604730
STK33,Body mass index,www.ncbi.nlm.nih.gov/pubmed/28892062
STK33,Body mass index (age <50),www.ncbi.nlm.nih.gov/pubmed/26426971
STK33,Body mass index x sex x age interaction (4df test),www.ncbi.nlm.nih.gov/pubmed/26426971
STK33,Body mass index,www.ncbi.nlm.nih.gov/pubmed/26426971
STK33,Body mass index,www.ncbi.nlm.nih.gov/pubmed/20935630
STK33,Body mass index,www.ncbi.nlm.nih.gov/pubmed/19079261
STK33,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30108127
STK33,Blood protein levels,www.ncbi.nlm.nih.gov/pubmed/30072576
STK33,Menarche (age at onset),www.ncbi.nlm.nih.gov/pubmed/30595370
STK33,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
