symbol,Disease_Trait,link
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/27618452
ULK4,Alcohol dependence,www.ncbi.nlm.nih.gov/pubmed/28714907
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/28739976
ULK4,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/28739976
ULK4,Blood pressure traits (multi-trait analysis),www.ncbi.nlm.nih.gov/pubmed/28498854
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/28498854
ULK4,"Facial morphology (factor 8, orbital inclination due to vertical and horizontal position of exocanthion)",www.ncbi.nlm.nih.gov/pubmed/28441456
ULK4,Multiple myeloma,www.ncbi.nlm.nih.gov/pubmed/26007630
ULK4,Multiple myeloma and monoclonal gammopathy,www.ncbi.nlm.nih.gov/pubmed/26007630
ULK4,Post bronchodilator FEV1/FVC ratio,www.ncbi.nlm.nih.gov/pubmed/26634245
ULK4,Diastolic blood pressure x alcohol consumption interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
ULK4,Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
ULK4,Pulse pressure x alcohol consumption interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
ULK4,Blood pressure,www.ncbi.nlm.nih.gov/pubmed/21909110
ULK4,Multiple myeloma,www.ncbi.nlm.nih.gov/pubmed/22120009
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/19430479
ULK4,Multiple myeloma (hyperdiploidy),www.ncbi.nlm.nih.gov/pubmed/23502783
ULK4,Blood pressure,www.ncbi.nlm.nih.gov/pubmed/23972371
ULK4,Immunoglobulin light chain (AL) amyloidosis,www.ncbi.nlm.nih.gov/pubmed/28025584
ULK4,Gut microbiota (functional units),www.ncbi.nlm.nih.gov/pubmed/27694959
ULK4,Multiple myeloma,www.ncbi.nlm.nih.gov/pubmed/27363682
ULK4,"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",www.ncbi.nlm.nih.gov/pubmed/28112199
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/27618447
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/27736895
ULK4,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
ULK4,Balding type 1,www.ncbi.nlm.nih.gov/pubmed/30595370
ULK4,Male-pattern baldness,www.ncbi.nlm.nih.gov/pubmed/30573740
ULK4,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
ULK4,Lung function (FEV1/FVC),www.ncbi.nlm.nih.gov/pubmed/30595370
ULK4,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
ULK4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30595370
ULK4,Diastolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/27841878
ULK4,Pulse pressure,www.ncbi.nlm.nih.gov/pubmed/27841878
