symbol,Disease_Trait,link
VRK2,Neuroticism,www.ncbi.nlm.nih.gov/pubmed/29255261
VRK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/28991256
VRK2,Autism spectrum disorder or schizophrenia,www.ncbi.nlm.nih.gov/pubmed/28540026
VRK2,Depressive symptoms,www.ncbi.nlm.nih.gov/pubmed/29292387
VRK2,Depressive symptoms (MTAG),www.ncbi.nlm.nih.gov/pubmed/29292387
VRK2,Subjective well-being (MTAG),www.ncbi.nlm.nih.gov/pubmed/29292387
VRK2,Neuroticism (MTAG),www.ncbi.nlm.nih.gov/pubmed/29292387
VRK2,Paclitaxel disposition in epithelial ovarian cancer,www.ncbi.nlm.nih.gov/pubmed/29367611
VRK2,Major depressive disorder,www.ncbi.nlm.nih.gov/pubmed/27479909
VRK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/26198764
VRK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/19571808
VRK2,Generalized epilepsy,www.ncbi.nlm.nih.gov/pubmed/22949513
VRK2,Epilepsy,www.ncbi.nlm.nih.gov/pubmed/25087078
VRK2,Neuroticism,www.ncbi.nlm.nih.gov/pubmed/27067015
VRK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/27922604
VRK2,Hirschsprung disease,www.ncbi.nlm.nih.gov/pubmed/27702942
VRK2,Irritable mood,www.ncbi.nlm.nih.gov/pubmed/29500382
VRK2,Experiencing mood swings,www.ncbi.nlm.nih.gov/pubmed/29500382
VRK2,Highest math class taken,www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Cognitive performance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Self-reported math ability (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Highest math class taken (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Neuroticism,www.ncbi.nlm.nih.gov/pubmed/29942085
VRK2,Adolescent idiopathic scoliosis,www.ncbi.nlm.nih.gov/pubmed/30019117
VRK2,Major depressive disorder,www.ncbi.nlm.nih.gov/pubmed/29728651
VRK2,Childhood absence epilepsy,www.ncbi.nlm.nih.gov/pubmed/30531953
VRK2,Generalized epilepsy,www.ncbi.nlm.nih.gov/pubmed/30531953
VRK2,Self-reported math ability,www.ncbi.nlm.nih.gov/pubmed/30038396
VRK2,Feeling miserable,www.ncbi.nlm.nih.gov/pubmed/29500382
VRK2,Depression,www.ncbi.nlm.nih.gov/pubmed/29942085
VRK2,Depressed affect,www.ncbi.nlm.nih.gov/pubmed/29942085
VRK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/29483656
VRK2,Neurociticism,www.ncbi.nlm.nih.gov/pubmed/29500382
VRK2,General cognitive ability,www.ncbi.nlm.nih.gov/pubmed/29844566
VRK2,Schizophrenia,www.ncbi.nlm.nih.gov/pubmed/30285260
VRK2,Depression,www.ncbi.nlm.nih.gov/pubmed/30718901
VRK2,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30595370
VRK2,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
VRK2,Alcohol consumption (drinks per week),www.ncbi.nlm.nih.gov/pubmed/30643258
VRK2,Neuroticism,www.ncbi.nlm.nih.gov/pubmed/30595370
VRK2,Waist-hip ratio,www.ncbi.nlm.nih.gov/pubmed/30595370
VRK2,Smoking status,www.ncbi.nlm.nih.gov/pubmed/30595370
VRK2,Well-being spectrum (multivariate analysis),www.ncbi.nlm.nih.gov/pubmed/30643256
VRK2,Life satisfaction,www.ncbi.nlm.nih.gov/pubmed/30643256
VRK2,Positive affect,www.ncbi.nlm.nih.gov/pubmed/30643256
VRK2,Neuroticism,www.ncbi.nlm.nih.gov/pubmed/30643256
VRK2,Depressive symptoms,www.ncbi.nlm.nih.gov/pubmed/30643256
