symbol,Gene.Accession,URL
ADCK1,MGI:1919363,http://www.mousephenotype.org/data/genes/MGI:1919363
ADCK2,MGI:1889336,http://www.mousephenotype.org/data/genes/MGI:1889336
ADCK5,MGI:2679274,http://www.mousephenotype.org/data/genes/MGI:2679274
ALPK2,MGI:2449492,http://www.mousephenotype.org/data/genes/MGI:2449492
ALPK3,MGI:2151224,http://www.mousephenotype.org/data/genes/MGI:2151224
SGK494,MGI:2652869,http://www.mousephenotype.org/data/genes/MGI:2652869
BCKDK,MGI:1276121,http://www.mousephenotype.org/data/genes/MGI:1276121
BRSK2,MGI:1923020,http://www.mousephenotype.org/data/genes/MGI:1923020
CAMK1D,MGI:2442190,http://www.mousephenotype.org/data/genes/MGI:2442190
CAMK1G,MGI:2388073,http://www.mousephenotype.org/data/genes/MGI:2388073
CAMKK1,MGI:1891766,http://www.mousephenotype.org/data/genes/MGI:1891766
CAMKK2,MGI:2444812,http://www.mousephenotype.org/data/genes/MGI:2444812
CAMKV,MGI:2384296,http://www.mousephenotype.org/data/genes/MGI:2384296
CDC42BPA,MGI:2441841,http://www.mousephenotype.org/data/genes/MGI:2441841
CDC42BPB,MGI:2136459,http://www.mousephenotype.org/data/genes/MGI:2136459
CDK10,MGI:2448549,http://www.mousephenotype.org/data/genes/MGI:2448549
CDK11B,MGI:88353,http://www.mousephenotype.org/data/genes/MGI:88353
CDK12,MGI:1098802,http://www.mousephenotype.org/data/genes/MGI:1098802
CDK13,MGI:1916812,http://www.mousephenotype.org/data/genes/MGI:1916812
CDK14,MGI:894318,http://www.mousephenotype.org/data/genes/MGI:894318
CDK15,MGI:3583944,http://www.mousephenotype.org/data/genes/MGI:3583944
CDK16,MGI:97516,http://www.mousephenotype.org/data/genes/MGI:97516
CDK17,MGI:97517,http://www.mousephenotype.org/data/genes/MGI:97517
CDK18,MGI:97518,http://www.mousephenotype.org/data/genes/MGI:97518
CDK19,MGI:1925584,http://www.mousephenotype.org/data/genes/MGI:1925584
CDK20,MGI:2145349,http://www.mousephenotype.org/data/genes/MGI:2145349
CDKL1,MGI:1918341,http://www.mousephenotype.org/data/genes/MGI:1918341
CDKL2,MGI:1858227,http://www.mousephenotype.org/data/genes/MGI:1858227
CDKL4,MGI:3587025,http://www.mousephenotype.org/data/genes/MGI:3587025
CDKL5,MGI:1278336,http://www.mousephenotype.org/data/genes/MGI:1278336
CLK3,MGI:1098670,http://www.mousephenotype.org/data/genes/MGI:1098670
CLK4,MGI:1098551,http://www.mousephenotype.org/data/genes/MGI:1098551
COQ8A,MGI:1914676,http://www.mousephenotype.org/data/genes/MGI:1914676
COQ8B,MGI:1924139,http://www.mousephenotype.org/data/genes/MGI:1924139
CSNK1A1,MGI:1934950,http://www.mousephenotype.org/data/genes/MGI:1934950
CSNK1G1,MGI:2660884,http://www.mousephenotype.org/data/genes/MGI:2660884
CSNK1G2,MGI:1920014,http://www.mousephenotype.org/data/genes/MGI:1920014
CSNK1G3,MGI:1917675,http://www.mousephenotype.org/data/genes/MGI:1917675
CSNK2A1,MGI:88543,http://www.mousephenotype.org/data/genes/MGI:88543
CSNK2A2,MGI:88547,http://www.mousephenotype.org/data/genes/MGI:88547
DCLK1,MGI:1330861,http://www.mousephenotype.org/data/genes/MGI:1330861
DCLK3,MGI:3039580,http://www.mousephenotype.org/data/genes/MGI:3039580
DSTYK,MGI:1925064,http://www.mousephenotype.org/data/genes/MGI:1925064
DYRK1B,MGI:1330302,http://www.mousephenotype.org/data/genes/MGI:1330302
DYRK2,MGI:1330301,http://www.mousephenotype.org/data/genes/MGI:1330301
DYRK3,MGI:1330300,http://www.mousephenotype.org/data/genes/MGI:1330300
EEF2K,MGI:1195261,http://www.mousephenotype.org/data/genes/MGI:1195261
HIPK1,MGI:1314873,http://www.mousephenotype.org/data/genes/MGI:1314873
HIPK3,MGI:1314882,http://www.mousephenotype.org/data/genes/MGI:1314882
HIPK4,MGI:2685008,http://www.mousephenotype.org/data/genes/MGI:2685008
ICK,MGI:1934157,http://www.mousephenotype.org/data/genes/MGI:1934157
LMTK2,MGI:3036247,http://www.mousephenotype.org/data/genes/MGI:3036247
LMTK3,MGI:3039582,http://www.mousephenotype.org/data/genes/MGI:3039582
LRRK1,MGI:2142227,http://www.mousephenotype.org/data/genes/MGI:2142227
LTK,MGI:96840,http://www.mousephenotype.org/data/genes/MGI:96840
MAP3K10,MGI:1346879,http://www.mousephenotype.org/data/genes/MGI:1346879
MAP3K14,MGI:1858204,http://www.mousephenotype.org/data/genes/MGI:1858204
MAP3K15,MGI:2448588,http://www.mousephenotype.org/data/genes/MGI:2448588
MAP3K21,MGI:2385307,http://www.mousephenotype.org/data/genes/MGI:2385307
MAPK15,MGI:2652894,http://www.mousephenotype.org/data/genes/MGI:2652894
MAPK4,MGI:2444559,http://www.mousephenotype.org/data/genes/MGI:2444559
MARK3,MGI:1341865,http://www.mousephenotype.org/data/genes/MGI:1341865
