symbol,URL
ADCK1,http://ndexbio.org/#/network/7c330062-5d9c-11ea-bfdc-0ac135e8bacf
ADCK2,http://ndexbio.org/#/network/82ff9256-5d9c-11ea-bfdc-0ac135e8bacf
ADCK5,http://ndexbio.org/#/network/890774ba-5d9c-11ea-bfdc-0ac135e8bacf
ALPK2,http://ndexbio.org/#/network/03b98595-5d9d-11ea-bfdc-0ac135e8bacf
ALPK3,http://ndexbio.org/#/network/09b16269-5d9d-11ea-bfdc-0ac135e8bacf
BCKDK,http://ndexbio.org/#/network/24224426-5d9f-11ea-bfdc-0ac135e8bacf
BRSK1,http://ndexbio.org/#/network/af795f35-5da7-11ea-bfdc-0ac135e8bacf
BRSK2,http://ndexbio.org/#/network/18dc59f0-5d8c-11ea-bfdc-0ac135e8bacf
CAMK1D,http://ndexbio.org/#/network/233a8493-5d91-11ea-bfdc-0ac135e8bacf
CAMK1G,http://ndexbio.org/#/network/28c806d9-5d91-11ea-bfdc-0ac135e8bacf
CAMKK1,http://ndexbio.org/#/network/61796cc5-5d91-11ea-bfdc-0ac135e8bacf
CAMKK2,http://ndexbio.org/#/network/e4b3edb8-5e21-11ea-bfdc-0ac135e8bacf
CAMKV,http://ndexbio.org/#/network/277d29df-5d8c-11ea-bfdc-0ac135e8bacf
CDC42BPA,http://ndexbio.org/#/network/09fb798a-5d94-11ea-bfdc-0ac135e8bacf
CDC42BPB,http://ndexbio.org/#/network/0f9e0a70-5d94-11ea-bfdc-0ac135e8bacf
CDC42BPG,http://ndexbio.org/#/network/14fd50c9-5d94-11ea-bfdc-0ac135e8bacf
CDK10,http://ndexbio.org/#/network/fd042433-5da7-11ea-bfdc-0ac135e8bacf
CDK11A,http://ndexbio.org/#/network/2fa29515-5d8c-11ea-bfdc-0ac135e8bacf
CDK11B,http://ndexbio.org/#/network/20114ab6-5e20-11ea-bfdc-0ac135e8bacf
CDK12,http://ndexbio.org/#/network/059a79a8-5da8-11ea-bfdc-0ac135e8bacf
CDK13,http://ndexbio.org/#/network/0c9bd73c-5da8-11ea-bfdc-0ac135e8bacf
CDK14,http://ndexbio.org/#/network/5f794973-5d8c-11ea-bfdc-0ac135e8bacf
CDK15,http://ndexbio.org/#/network/65917f89-5d8c-11ea-bfdc-0ac135e8bacf
CDK16,http://ndexbio.org/#/network/6cd64ec2-5d8c-11ea-bfdc-0ac135e8bacf
CDK17,http://ndexbio.org/#/network/73a2447b-5d8c-11ea-bfdc-0ac135e8bacf
CDK18,http://ndexbio.org/#/network/79c21ab1-5d8c-11ea-bfdc-0ac135e8bacf
CDK19,http://ndexbio.org/#/network/80298237-5d8c-11ea-bfdc-0ac135e8bacf
CDK20,http://ndexbio.org/#/network/3249d645-5da8-11ea-bfdc-0ac135e8bacf
CDKL1,http://ndexbio.org/#/network/c544b3ad-5d8c-11ea-bfdc-0ac135e8bacf
CDKL2,http://ndexbio.org/#/network/cab3d883-5d8c-11ea-bfdc-0ac135e8bacf
CDKL3,http://ndexbio.org/#/network/cfe9ebf9-5d8c-11ea-bfdc-0ac135e8bacf
CDKL4,http://ndexbio.org/#/network/d544c57f-5d8c-11ea-bfdc-0ac135e8bacf
CDKL5,http://ndexbio.org/#/network/da85ae65-5d8c-11ea-bfdc-0ac135e8bacf
CLK3,http://ndexbio.org/#/network/0519a526-5d8d-11ea-bfdc-0ac135e8bacf
CLK4,http://ndexbio.org/#/network/0c0816ff-5d8d-11ea-bfdc-0ac135e8bacf
COQ8A,http://ndexbio.org/#/network/a0a0421b-5d9c-11ea-bfdc-0ac135e8bacf
COQ8B,http://ndexbio.org/#/network/acf7be41-5d9c-11ea-bfdc-0ac135e8bacf
CSNK1A1L,http://ndexbio.org/#/network/f45471ad-5d90-11ea-bfdc-0ac135e8bacf
CSNK1G1,http://ndexbio.org/#/network/07b317d5-5d91-11ea-bfdc-0ac135e8bacf
CSNK1G2,http://ndexbio.org/#/network/0d68bb8b-5d91-11ea-bfdc-0ac135e8bacf
CSNK1G3,http://ndexbio.org/#/network/13251601-5d91-11ea-bfdc-0ac135e8bacf
CSNK2A2,http://ndexbio.org/#/network/380aaea8-5e20-11ea-bfdc-0ac135e8bacf
CSNK2A3,http://ndexbio.org/#/network/24a86954-5d8d-11ea-bfdc-0ac135e8bacf
DCLK3,http://ndexbio.org/#/network/746306b7-5d8d-11ea-bfdc-0ac135e8bacf
DSTYK,http://ndexbio.org/#/network/8c3f1eaf-5d8d-11ea-bfdc-0ac135e8bacf
DYRK1B,http://ndexbio.org/#/network/6f69a3e2-5e20-11ea-bfdc-0ac135e8bacf
DYRK2,http://ndexbio.org/#/network/76cd1ea8-5e20-11ea-bfdc-0ac135e8bacf
DYRK3,http://ndexbio.org/#/network/9e392bc4-5d8d-11ea-bfdc-0ac135e8bacf
DYRK4,http://ndexbio.org/#/network/a41ae88a-5d8d-11ea-bfdc-0ac135e8bacf
EEF2K,http://ndexbio.org/#/network/2baaac0b-5d9f-11ea-bfdc-0ac135e8bacf
ERN2,http://ndexbio.org/#/network/177636c3-5dad-11ea-bfdc-0ac135e8bacf
HIPK1,http://ndexbio.org/#/network/ca1e968c-5d8f-11ea-bfdc-0ac135e8bacf
HIPK3,http://ndexbio.org/#/network/d3711015-5d8f-11ea-bfdc-0ac135e8bacf
HIPK4,http://ndexbio.org/#/network/d91e4f5b-5d8f-11ea-bfdc-0ac135e8bacf
ICK,http://ndexbio.org/#/network/e4fa32e7-5d8f-11ea-bfdc-0ac135e8bacf
LMTK2,http://ndexbio.org/#/network/574920d2-5d92-11ea-bfdc-0ac135e8bacf
LMTK3,http://ndexbio.org/#/network/5d60baa8-5d92-11ea-bfdc-0ac135e8bacf
LRRK1,http://ndexbio.org/#/network/63311252-5d92-11ea-bfdc-0ac135e8bacf
LTK,http://ndexbio.org/#/network/6f76db3b-5d92-11ea-bfdc-0ac135e8bacf
MAP3K10,http://ndexbio.org/#/network/7f8544e7-5d92-11ea-bfdc-0ac135e8bacf
MAP3K14,http://ndexbio.org/#/network/a9de5936-5db0-11ea-bfdc-0ac135e8bacf
MAP3K15,http://ndexbio.org/#/network/9a4fa332-5d92-11ea-bfdc-0ac135e8bacf
MAP3K21,http://ndexbio.org/#/network/b36573aa-5d92-11ea-bfdc-0ac135e8bacf
MAPK15,http://ndexbio.org/#/network/c29595a5-5d93-11ea-bfdc-0ac135e8bacf
MAPK4,http://ndexbio.org/#/network/37ff63b9-5db1-11ea-bfdc-0ac135e8bacf
MARK1,http://ndexbio.org/#/network/8fbc4238-5e22-11ea-bfdc-0ac135e8bacf
MARK3,http://ndexbio.org/#/network/1d84a7b8-5d93-11ea-bfdc-0ac135e8bacf
MARK4,http://ndexbio.org/#/network/241b5c9e-5d93-11ea-bfdc-0ac135e8bacf
MAST2,http://ndexbio.org/#/network/2fedca4d-5d93-11ea-bfdc-0ac135e8bacf
MAST3,http://ndexbio.org/#/network/366adcb3-5d93-11ea-bfdc-0ac135e8bacf
MAST4,http://ndexbio.org/#/network/3bd1eb3c-5d93-11ea-bfdc-0ac135e8bacf
MKNK1,http://ndexbio.org/#/network/f1f3b120-5e22-11ea-bfdc-0ac135e8bacf
MKNK2,http://ndexbio.org/#/network/cf6db384-5d93-11ea-bfdc-0ac135e8bacf
NEK1,http://ndexbio.org/#/network/3f258d7c-5d94-11ea-bfdc-0ac135e8bacf
NEK10,http://ndexbio.org/#/network/45447a52-5d94-11ea-bfdc-0ac135e8bacf
NEK11,http://ndexbio.org/#/network/4aa3c0a8-5d94-11ea-bfdc-0ac135e8bacf
NEK3,http://ndexbio.org/#/network/5783cdc4-5d94-11ea-bfdc-0ac135e8bacf
NEK4,http://ndexbio.org/#/network/5d4d208a-5d94-11ea-bfdc-0ac135e8bacf
NEK5,http://ndexbio.org/#/network/62cb3980-5d94-11ea-bfdc-0ac135e8bacf
NEK6,http://ndexbio.org/#/network/685b05b6-5d94-11ea-bfdc-0ac135e8bacf
NEK7,http://ndexbio.org/#/network/6f30e67f-5d94-11ea-bfdc-0ac135e8bacf
NEK8,http://ndexbio.org/#/network/75c92205-5d94-11ea-bfdc-0ac135e8bacf
NEK9,http://ndexbio.org/#/network/7bdaef7b-5d94-11ea-bfdc-0ac135e8bacf
NIM1K,http://ndexbio.org/#/network/81bd4881-5d94-11ea-bfdc-0ac135e8bacf
NRBP2,http://ndexbio.org/#/network/93e850a3-5d94-11ea-bfdc-0ac135e8bacf
NRK,http://ndexbio.org/#/network/98eea189-5d94-11ea-bfdc-0ac135e8bacf
NUAK2,http://ndexbio.org/#/network/cb06e174-5d94-11ea-bfdc-0ac135e8bacf
OBSCN,http://ndexbio.org/#/network/d763b4d0-5d94-11ea-bfdc-0ac135e8bacf
PAK3,http://ndexbio.org/#/network/14eedd39-5d95-11ea-bfdc-0ac135e8bacf
PAK5,http://ndexbio.org/#/network/2245a0f5-5d95-11ea-bfdc-0ac135e8bacf
PAK6,http://ndexbio.org/#/network/aea8419c-5e23-11ea-bfdc-0ac135e8bacf
PAN3,http://ndexbio.org/#/network/331b7852-5d95-11ea-bfdc-0ac135e8bacf
PDIK1L,http://ndexbio.org/#/network/3fdb533e-5d95-11ea-bfdc-0ac135e8bacf
PHKG1,http://ndexbio.org/#/network/58feb845-5d95-11ea-bfdc-0ac135e8bacf
PHKG2,http://ndexbio.org/#/network/5e8f20bb-5d95-11ea-bfdc-0ac135e8bacf
PI4KA,http://ndexbio.org/#/network/2bc25dc4-5da0-11ea-bfdc-0ac135e8bacf
PIK3C2B,http://ndexbio.org/#/network/d6995edd-5d9f-11ea-bfdc-0ac135e8bacf
PIK3C2G,http://ndexbio.org/#/network/dd56ae91-5d9f-11ea-bfdc-0ac135e8bacf
PIP4K2C,http://ndexbio.org/#/network/1db653cf-5da0-11ea-bfdc-0ac135e8bacf
PIP5K1A,http://ndexbio.org/#/network/3da3d9bc-5da0-11ea-bfdc-0ac135e8bacf
PIP5K1B,http://ndexbio.org/#/network/44885f82-5da0-11ea-bfdc-0ac135e8bacf
PIP5K1C,http://ndexbio.org/#/network/4b4b2d76-5da0-11ea-bfdc-0ac135e8bacf
PKMYT1,http://ndexbio.org/#/network/ee508f52-60dc-11ea-bfdc-0ac135e8bacf
PKN3,http://ndexbio.org/#/network/b0f7aaab-5d96-11ea-bfdc-0ac135e8bacf
PNCK,http://ndexbio.org/#/network/1df3cf4d-5d91-11ea-bfdc-0ac135e8bacf
POMK,http://ndexbio.org/#/network/dab10d8c-5d98-11ea-bfdc-0ac135e8bacf
PRAG1,http://ndexbio.org/#/network/f117399f-5d96-11ea-bfdc-0ac135e8bacf
PRKACB,http://ndexbio.org/#/network/e2773b68-5d90-11ea-bfdc-0ac135e8bacf
PRKACG,http://ndexbio.org/#/network/e8ef44c1-5d90-11ea-bfdc-0ac135e8bacf
PRKCQ,http://ndexbio.org/#/network/fe6dc65a-5e21-11ea-bfdc-0ac135e8bacf
PRPF4B,http://ndexbio.org/#/network/fe71cde7-5d96-11ea-bfdc-0ac135e8bacf
PSKH1,http://ndexbio.org/#/network/b83344ed-5d91-11ea-bfdc-0ac135e8bacf
PSKH2,http://ndexbio.org/#/network/bcd79eb3-5d91-11ea-bfdc-0ac135e8bacf
PXK,http://ndexbio.org/#/network/14c60d57-5d97-11ea-bfdc-0ac135e8bacf
RIOK1,http://ndexbio.org/#/network/dcce729d-5d9c-11ea-bfdc-0ac135e8bacf
RIOK2,http://ndexbio.org/#/network/e3997df1-5d9c-11ea-bfdc-0ac135e8bacf
RIOK3,http://ndexbio.org/#/network/ea2117a5-5d9c-11ea-bfdc-0ac135e8bacf
RNASEL,http://ndexbio.org/#/network/676e1132-5d98-11ea-bfdc-0ac135e8bacf
RPS6KC1,http://ndexbio.org/#/network/222a307e-5d92-11ea-bfdc-0ac135e8bacf
RPS6KL1,http://ndexbio.org/#/network/a506590a-5d98-11ea-bfdc-0ac135e8bacf
RSKR,http://ndexbio.org/#/network/37488cea-5db0-11ea-bfdc-0ac135e8bacf
SBK1,http://ndexbio.org/#/network/b265a744-5d98-11ea-bfdc-0ac135e8bacf
SBK2,http://ndexbio.org/#/network/b7f1f10b-5d98-11ea-bfdc-0ac135e8bacf
SBK3,http://ndexbio.org/#/network/c3d17e0d-5d98-11ea-bfdc-0ac135e8bacf
SCYL1,http://ndexbio.org/#/network/c98f1104-5d98-11ea-bfdc-0ac135e8bacf
SCYL2,http://ndexbio.org/#/network/d09d3fd8-5d98-11ea-bfdc-0ac135e8bacf
SCYL3,http://ndexbio.org/#/network/e1e3159a-5d94-11ea-bfdc-0ac135e8bacf
SRPK3,http://ndexbio.org/#/network/bd8cc4b0-5d99-11ea-bfdc-0ac135e8bacf
STK17A,http://ndexbio.org/#/network/c415bdf4-5d99-11ea-bfdc-0ac135e8bacf
STK17B,http://ndexbio.org/#/network/caa37228-5d99-11ea-bfdc-0ac135e8bacf
STK19,http://ndexbio.org/#/network/839bc6c0-5da6-11ea-bfdc-0ac135e8bacf
STK3,http://ndexbio.org/#/network/1a05b65a-5d9a-11ea-bfdc-0ac135e8bacf
STK31,http://ndexbio.org/#/network/23eafa00-5d9a-11ea-bfdc-0ac135e8bacf
STK32A,http://ndexbio.org/#/network/d1a9ffdc-5d99-11ea-bfdc-0ac135e8bacf
STK32B,http://ndexbio.org/#/network/d77bb710-5d99-11ea-bfdc-0ac135e8bacf
STK32C,http://ndexbio.org/#/network/dd3db6d4-5d99-11ea-bfdc-0ac135e8bacf
STK33,http://ndexbio.org/#/network/2a6bb5e4-5d9a-11ea-bfdc-0ac135e8bacf
STK36,http://ndexbio.org/#/network/37ab963c-5d9a-11ea-bfdc-0ac135e8bacf
STK38L,http://ndexbio.org/#/network/e3764628-5d99-11ea-bfdc-0ac135e8bacf
STK40,http://ndexbio.org/#/network/59537662-5d9a-11ea-bfdc-0ac135e8bacf
STKLD1,http://ndexbio.org/#/network/5f5b0aa6-5d9a-11ea-bfdc-0ac135e8bacf
TAOK1,http://ndexbio.org/#/network/7a60c436-5d9a-11ea-bfdc-0ac135e8bacf
TAOK2,http://ndexbio.org/#/network/812d080a-5d9a-11ea-bfdc-0ac135e8bacf
TBCK,http://ndexbio.org/#/network/8e7a7cf2-5d9a-11ea-bfdc-0ac135e8bacf
TESK1,http://ndexbio.org/#/network/ba802b12-5d9a-11ea-bfdc-0ac135e8bacf
TESK2,http://ndexbio.org/#/network/c0fa0926-5d9a-11ea-bfdc-0ac135e8bacf
TLK1,http://ndexbio.org/#/network/03ee14da-5d9b-11ea-bfdc-0ac135e8bacf
TLK2,http://ndexbio.org/#/network/0aa3272e-5d9b-11ea-bfdc-0ac135e8bacf
TP53RK,http://ndexbio.org/#/network/d612a989-5d9c-11ea-bfdc-0ac135e8bacf
TSSK1B,http://ndexbio.org/#/network/4c9c311a-5d9b-11ea-bfdc-0ac135e8bacf
TSSK2,http://ndexbio.org/#/network/52f0d3ee-5d9b-11ea-bfdc-0ac135e8bacf
TSSK3,http://ndexbio.org/#/network/5918e882-5d9b-11ea-bfdc-0ac135e8bacf
TSSK4,http://ndexbio.org/#/network/5ef01df6-5d9b-11ea-bfdc-0ac135e8bacf
TSSK6,http://ndexbio.org/#/network/64ffc88c-5d9b-11ea-bfdc-0ac135e8bacf
TTBK1,http://ndexbio.org/#/network/6b5ca8c1-5d9b-11ea-bfdc-0ac135e8bacf
TTBK2,http://ndexbio.org/#/network/71dacc98-5d9b-11ea-bfdc-0ac135e8bacf
ULK4,http://ndexbio.org/#/network/d526b8ce-5d9b-11ea-bfdc-0ac135e8bacf
VRK2,http://ndexbio.org/#/network/192ef39a-5d9c-11ea-bfdc-0ac135e8bacf
VRK3,http://ndexbio.org/#/network/208ca1fe-5d9c-11ea-bfdc-0ac135e8bacf
WEE2,http://ndexbio.org/#/network/30fc8c97-5d9c-11ea-bfdc-0ac135e8bacf
WNK2,http://ndexbio.org/#/network/431b86c2-5d9c-11ea-bfdc-0ac135e8bacf
WNK3,http://ndexbio.org/#/network/497113f6-5d9c-11ea-bfdc-0ac135e8bacf
