symbol,vector_catalog_number,fusion_name,vector_url,tracer_id,concentration,synapse_link,tracer_catalog_number,tracer_catalog_URL
NEK1,NV3761,NanoLuc®-NEK1,https://www.promega.com/catalogredirection.aspx?partno=NV3761,NA,NA,NA,NA,NA
NEK6,NV3801,NEK6-NanoLuc®,https://www.promega.com/catalogredirection.aspx?partno=NV3801,NA,NA,NA,NA,NA
NIM1K,NV3811,NIM1K-NanoLuc®,https://www.promega.com/catalogredirection.aspx?partno=NV3811,NA,NA,NA,NA,NA
NRK,NV3831,NanoLuc®-NRK,https://www.promega.com/catalogredirection.aspx?partno=NV3831,NA,NA,NA,NA,NA
PAK6,NV3861,PAK6-NanoLuc®,https://www.promega.com/catalogredirection.aspx?partno=NV3861,NA,NA,NA,NA,NA
PIP5K1B,NV4071,NanoLuc®-PIP5K1B,https://www.promega.com/catalogredirection.aspx?partno=NV4071,NA,NA,NA,NA,NA
STK36,NV4331,NanoLuc®-STK36,https://www.promega.com/catalogredirection.aspx?partno=NV4331,NA,NA,NA,NA,NA
TESK1,NV2161,NanoLuc®-TESK1,https://www.promega.com/catalogredirection.aspx?partno=NV2161,NA,NA,NA,NA,NA
CDK10,Special Request,NanoLuc®-fused CDK10,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.25 µM,https://www.synapse.org/#!Synapse:syn18435660,"NA","NA"
CDK11a,Special Request,NanoLuc®-fused CDK11a,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.125 µM,https://www.synapse.org/#!Synapse:syn18435664,"NA","NA"
CDK11B,Special Request,NanoLuc®-fused CDK11B,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.125 µM,https://www.synapse.org/#!Synapse:syn18435655,"NA","NA"
CDK12,Special Request,NanoLuc®-fused CDK12,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.5 µM,https://www.synapse.org/#!Synapse:syn18435662,"NA","NA"
CDK13,Special Request,NanoLuc®-fused CDK13,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.5 µM,https://www.synapse.org/#!Synapse:syn18435661,"NA","NA"
CDK14,Special Request,NanoLuc®-fused CDK14,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.125 µM,https://www.synapse.org/#!Synapse:syn18435663,"NA","NA"
CDK16,Special Request,NanoLuc®-fused CDK16,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.125 µM,https://www.synapse.org/#!Synapse:syn18435667,"NA","NA"
CDK17,Special Request,NanoLuc®-fused CDK17,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.125 µM,https://www.synapse.org/#!Synapse:syn18435666,"NA","NA"
CDK18,Special Request,NanoLuc®-fused CDK18,https://www.promega.com/products/cell-signaling/kinase-target-engagement/nanobret-te-intracellular-kinase-assay/?catNum=N2520&accordion1=0,7281,0.125 µM,https://www.synapse.org/#!Synapse:syn18435665,"NA","NA"
