Catalog Number,Description,HGNC_symbol,Gene ID NCBI,Expression Level,Expressed/Not expressed,Cell line (Parental),Delivery time,Product page
HZGHC004962c001,Human ADCK1 knockout cell line 7bp deletion,ADCK1,57143,16.31 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck1-7bp-deletion-knockout-cell-line-hzghc004962c001
HZGHC004962c009,Human ADCK1 knockout cell line 22bp deletion,ADCK1,57143,16.31 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck1-22bp-deletion-knockout-cell-line-hzghc004962c009
HZGHC002981c010,Human ADCK2 knockout cell line 5bp deletion,ADCK2,90956,31.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck2-knockout-cell-line-2602
HZGHC002981c011,Human ADCK2 knockout cell line 8bp deletion,ADCK2,90956,31.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck2-knockout-cell-line-2603
HZGHC001492c004,Human ADCK2 knockout cell line 17bp deletion,ADCK2,90956,31.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck2-knockout-cell-line-1
HZGHC000316c010,Human ADCK5 knockout cell line 16bp deletion,ADCK5,203054,4.75 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck5-knockout-cell-line-19823
HZGHC000316c015,Human ADCK5 knockout cell line 13bp deletion,ADCK5,203054,4.75 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-adck5-knockout-cell-line-19824
HZGHC000042c005,Human ALPK2 knockout cell line 13bp deletion,ALPK2,115701,0.01 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-alpk2-knockout-cell-line-3883
HZGHC000042c018,Human ALPK2 knockout cell line 5bp deletion,ALPK2,115701,0.01 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-alpk2-knockout-cell-line-3884
HZGHC000042c022,Human ALPK2 knockout cell line 19bp deletion,ALPK2,115701,0.01 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-alpk2-knockout-cell-line-3885
HZGHC57538,Human ALPK3 knockout cell line,ALPK3,57538,0.04 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-alpk3-knockout-cell-line
HZGHC000197c006,Human BCKDK knockout cell line 10bp deletion,BCKDK,10295,37.86 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-bckdk-knockout-cell-line-19593
HZGHC000347c019,Human BRSK1 knockout cell line 16bp deletion,BRSK1,84446,6.26 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk1-knockout-cell-line-19630
HZGHC000347c005,Human BRSK1 knockout cell line 1bp insertion,BRSK1,84446,6.26 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk1-knockout-cell-line-1
HZGHC000345c022,Human BRSK2 knockout cell line 7bp deletion,BRSK2,9024,8.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk2-knockout-cell-line-21372
HZGHC000345c017,Human BRSK2 knockout cell line 4bp deletion,BRSK2,9024,8.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-brsk2-knockout-cell-line-21373
HZGHC000129c018,Human CAMK1D knockout cell line 23bp deletion,CAMK1D,57118,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camk1d-knockout-cell-line-19790
HZGHC000129c020,Human CAMK1D knockout cell line 16bp deletion,CAMK1D,57118,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camk1d-knockout-cell-line-19791
HZGHC57172,Human CAMK1G knockout cell line,CAMK1G,57172,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-camk1g-knockout-cell-line
HZGHC000309c018,Human CAMKK1 knockout cell line 7bp deletion,CAMKK1,84254,3.27 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk1-knockout-cell-line-19836
HZGHC000309c001,Human CAMKK1 knockout cell line 1bp insertion,CAMKK1,84254,3.27 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk1-knockout-cell-line-19837
HZGHC000309c005,Human CAMKK1 knockout cell line 1bp deletion,CAMKK1,84254,3.27 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk1-knockout-cell-line-19838
HZGHC000279c003,Human CAMKK2 knockout cell line 10bp deletion,CAMKK2,10645,16.39 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkk2-knockout-cell-line-19802
HZGHC000077c003,Human CAMKV knockout cell line 5bp deletion,CAMKV,79012,10.57 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkv-knockout-cell-line-19720
HZGHC000077c016,Human CAMKV knockout cell line 1bp deletion,CAMKV,79012,10.57 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkv-knockout-cell-line-19721
HZGHC000077c023,Human CAMKV knockout cell line 1bp deletion,CAMKV,79012,10.57 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-camkv-knockout-cell-line-19722
HZGHC000131c001,Human CDC42BPA Knockout HAP1 Cell Line,CDC42BPA,8476,5.40126,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-cdc42bpa-knockout-hap1-cell-line
HZGHC000131c023,Human CDC42BPA Knockout HAP1 Cell Line,CDC42BPA,8476,5.40126,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-cdc42bpa-knockout-hap1-cell-line-3792
HZGHC8476,Human CDC42BPA knockout cell line,CDC42BPA,8476,9.15 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdc42bpa-knockout-cell-line
HZGHC002968c004,Human CDC42BPB knockout cell line 11bp deletion,CDC42BPB,9578,29.73 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdc42bpb-knockout-cell-line-2588
HZGHC002968c006,Human CDC42BPB knockout cell line 4bp deletion,CDC42BPB,9578,29.73 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdc42bpb-knockout-cell-line-2589
HZGHC000361c014,Human CDC42BPG knockout cell line 14bp deletion,CDC42BPG,55561,1.98 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdc42bpg-knockout-cell-line-3694
HZGHC000270c005,Human CDK10 knockout cell line 11bp deletion,CDK10,8558,49.41 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk10-knockout-cell-line-19632
HZGHC002629c012,Human CDK11A knockout cell line 2bp deletion,CDK11A,728642,20.98 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk11a-knockout-cell-line-2697
HZGHC984,Human CDK11B knockout cell line,CDK11B,984,90.65 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdk11b-knockout-cell-line
HZGHC000317c016,Human CDK13 knockout cell line 2bp insertion,CDK13,8621,14.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk13-knockout-cell-line-19839
HZGHC000317c002,Human CDK13 knockout cell line 14bp deletion,CDK13,8621,14.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk13-knockout-cell-line-19840
HZGHC000317c007,Human CDK13 knockout cell line 8bp deletion,CDK13,8621,14.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk13-knockout-cell-line-19841
HZGHC000043c019,Human CDK14 knockout cell line 14bp deletion,CDK14,5218,1.28 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk14-knockout-cell-line-22534
HZGHC65061,Human CDK15 knockout cell line,CDK15,65061,0.08 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdk15-knockout-cell-line
HZGHC000235c010,Human CDK16 knockout cell line 10bp deletion,CDK16,5127,214.47 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk16-knockout-cell-line-19608
HZGHC000132c004,Human CDK17 knockout cell line 7bp deletion,CDK17,5128,16.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk17-knockout-cell-line-3821
HZGHC000132c009,Human CDK17 knockout cell line 10bp deletion,CDK17,5128,16.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk17-knockout-cell-line-3822
HZGHC000305c013,Human CDK18 knockout cell line 1bp insertion,CDK18,5129,3.24 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk18-knockout-cell-line-22567
HZGHC000305c020,Human CDK18 knockout cell line 2bp deletion,CDK18,5129,3.24 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk18-knockout-cell-line-22568
HZGHC000305c011,Human CDK18 knockout cell line 14bp deletion,CDK18,5129,3.24 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk18-knockout-cell-line-22569
HZGHC000078c020,Human CDK19 knockout cell line 1bp insertion,CDK19,23097,11.52 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdk19-knockout-cell-line-19791
HZGHC23552,Human CDK20 knockout cell line,CDK20,23552,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-cdk20-knockout-cell-line
HZGHC000332c012,Human CDKL1 knockout cell line 1bp insertion,CDKL1,8814,2.94 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-cdkl1-knockout-cell-line-19842
