Experiment.ID,Bait.Gene.Name,Bait.GeneID,Bait,Prey.Gene.Name,Prey.GeneID,Prey,AvePSM,Z,WD,Entropy,Spec,SpecSum,AvgSpec,NumReplicates,ctrlCounts,AvgP,MaxP,TopoAvgP,TopoMaxP,SaintScore,logOddsScore,FoldChange,BFDR,in_BioGRID
mT-HIPK4,HIPK4,147746,Q8NE63,HIPK4,147746,Q8NE63,117,7.681163528,112.5188643,0.997438337,124|110,234,117,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,160.96,1170,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,RC3H1,149041,Q5TC82,15,5.264213668,0.904801135,0.972806322,18|12,30,15,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,20.28,150,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,SGTA,6449,O43765,4.5,6.205842715,0.816242133,0.992774454,4|5,9,4.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,7.61,45,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,ATXN2,6311,Q99700,9,3.209508352,0.640484002,0.991992403,10|8,18,9,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,14.11,90,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,PHKA1,5255,P46020,5.5,-0.126441698,0.464597635,0.954434003,4|7,11,5.5,2,0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,3.72,11,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,NUDCD1,84955,Q96RS6,6,6.43391145,0.444760365,1,6|6,12,6,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,10.93,60,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,PABPC4,8761,Q13310,9.5,3.96453469,0.407820433,0.669015835,16|3,19,9.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,5.87,95,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,TPR,7175,P12270,42.5,2.648330827,0.374826128,0.977942631,50|35,85,42.5,2,0|1|1|0|1|1|0|0|4|3|0|0|0|0|1|0,1,1,1,1,1,30.62,12.14,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,RBM20,282996,Q5T481,6,3.699359228,0.37473938,0.930586129,8|4,12,6,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,7.61,60,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,TOMM34,10953,Q15785,3,2.943262902,0.370849406,0.940285959,4|2,6,3,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,4.02,30,0,FALSE
mT-HIPK4,HIPK4,147746,Q8NE63,R3HDM1,23518,Q15032,4.5,3.624366993,0.334045384,0.934068055,6|3,9,4.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,5.87,45,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,DYRK1B,9149,Q9Y463,79.5,7.681163528,92.75043895,0.995232726,86|73,159,79.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,108.45,795,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,SHROOM2,357,Q13796,5.5,7.682212796,24.39239433,0.994984828,5|6,11,5.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,9.29,55,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,LPIN2,9663,Q92539,5.5,7.682212796,24.39239433,0.738284866,9|2,11,5.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,4.02,55,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,EBF3,253738,Q9H4W6;Q9UH73,5.5,7.557595637,10.4582353,0.738284866,9|2,11,5.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,4.02,55,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,MED25,81857,Q71SY5,4,7.451065006,8.543143755,0.964078765,5|3,8,4,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,5.87,40,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,PPP1R3F,89801,Q6ZSY5,8.5,7.579008937,8.261489823,0.943601631,6|11,17,8.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,10.93,85,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,FAM53C,51307,Q9NYF3,3.5,7.384037355,7.835236031,0.896038233,5|2,7,3.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,4.02,35,0,TRUE
mT-DYRK1B,DYRK1B,9149,Q9Y463,MAP3K1,4214,Q13233,7.5,7.550269887,7.592931464,0.997180399,7|8,15,7.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,12.53,75,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,FAM117A,81558,Q9C073,12.5,7.541351196,7.056817765,0.947062243,16|9,25,12.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,15.67,125,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,PRDM16,63976,Q9HAZ2,4.5,6.746656541,3.275884227,0.992774454,5|4,9,4.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,7.61,45,0,FALSE
mT-DYRK1B,DYRK1B,9149,Q9Y463,RBL2,5934,Q08999,15.5,4.390692125,3.058187446,0.912999214,21|10,31,15.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,17.22,155,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,CDKL4,344387,Q5MAI5,47,7.681163528,71.31507418,0.994878564,51|43,94,47,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,65.59,470,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,CDKL1,8814,Q00532,9.5,6.877916406,5.254447123,0.998195879,9|10,19,9.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,15.67,95,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,LMNB1,4001,P20700,15.5,2.53921891,0.56533971,0.785560292,24|7,31,15.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1,0.81,1,0.81,1,0.81,0.46,6.2,0.02,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,IPO8,10526,O15397,85.5,7.050852263,0.555768231,0.998024072,81|90,171,85.5,2,1|1|0|0|0|0|0|0|2|1|0|0|0|0|0|0,1,1,1,1,1,105.36,57,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,DDX18,8886,Q9NVP1,3,2.375332334,0.4007534,1,3|3,6,3,2,0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0,0.91,0.91,0.91,0.91,0.91,2.32,6,0.01,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,ZFHX4,79776,Q86UP3,4.5,0.93536034,0.400047588,0.934068055,6|3,9,4.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,5.87,45,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,NOL8,55035,Q76FK4,8,2.73860645,0.379634601,1,8|8,16,8,2,0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|0,1,1,1,1,1,6.69,8,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,ZNF516,9658,Q92618,2.5,0.463799474,0.37320005,0.979868757,3|2,5,2.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,4.02,25,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,ZNF106,64397,Q9H2Y7,2.5,1.183431868,0.312073321,0.979868757,3|2,5,2.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0.99,1,0.99,1,0.99,4.02,25,0,FALSE
mT-CDKL4,CDKL4,344387,Q5MAI5,ZBED4,9889,O75132,5,2.249828287,0.307605266,1,5|5,10,5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,9.29,50,0,FALSE
mT-ADCK1,ADCK1,57143,Q86TW2,ADCK1,57143,Q86TW2,61.5,119.9709425,40.77756717,0.996196634,66|57,123,61.5,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,85.64,615,0,FALSE
