symbol,recomb_ids,catalog_URL,catalog_id
BRSK1,BRSK1 (SAD1),https://www.thermofisher.com/order/catalog/product/PV4333,PV4333
CAMK1D,CAMK1D (CAMKI DELTA),https://www.thermofisher.com/order/catalog/product/PV3663,PV3663
CAMK1G,CAMK1G (CaMKI GAMMA),https://www.thermofisher.com/order/catalog/product/A30489,A30489
CAMKK1,CAMKK1 (CAMKKA),https://www.thermofisher.com/order/catalog/product/PV4670,PV4670
CAMKK2,CAMKK2 (CAMKK BETA),https://www.thermofisher.com/order/catalog/product/PV4206,PV4206
CDC42BPA,CDC42BPA (MRCKB),https://www.thermofisher.com/order/catalog/product/PV4398,PV4398
CDC42BPB,CDC42BPB (MRCKA),https://www.thermofisher.com/order/catalog/product/PV4399,PV4399
CDC42BPG,CDC42BPG (MRCKG),https://www.thermofisher.com/order/catalog/product/A30490,A30490
CDK14,CDK14 (PFTK1)/cyclin Y,https://www.thermofisher.com/order/catalog/product/PV6382,PV6382
CDK16,CDK16 (PCTK1)/cyclin Y,https://www.thermofisher.com/order/catalog/product/PV6379,PV6379
CSNK1A1L,CSNK1A1L (CK1 alpha 1L),https://www.thermofisher.com/order/catalog/product/A30494,A30494
CSNK1G1,CSNK1G1 (CK1 GAMMA 1),https://www.thermofisher.com/order/catalog/product/PV3825,PV3825
CSNK1G2,CSNK1G2 (CK1 GAMMA 2),https://www.thermofisher.com/order/catalog/product/PV3499,PV3499
CSNK1G3,CSNK1G3 (CK1 GAMMA 3),https://www.thermofisher.com/order/catalog/product/PV3838,PV3838
CSNK2A2,CSNK2A2 (CK2 ALPHA 2),https://www.thermofisher.com/order/catalog/product/PV3624,PV3624
HIPK1,HIPK1 (MYAK),https://www.thermofisher.com/order/catalog/product/PV4561,PV4561
HIPK3,HIPK3 (YAK1),https://www.thermofisher.com/order/catalog/product/PV4209,PV4209
LTK,LTK (TYK1),https://www.thermofisher.com/order/catalog/product/PV4651,PV4651
MAP3K10,MAP3K10 (MLK2),https://www.thermofisher.com/order/catalog/product/PV3877,PV3877
MAP3K14,MAP3K14 (NIK),https://www.thermofisher.com/order/catalog/product/PV4902,PV4902
MAPK15,MAPK15 (ERK7),https://www.thermofisher.com/order/catalog/product/PV6181,PV6181
MARK1,MARK1 (MARK),https://www.thermofisher.com/order/catalog/product/PV4395,PV4395
MKNK1,MKNK1 (MNK1),https://www.thermofisher.com/order/catalog/product/PV6023,PV6023
MKNK2,MKNK2 (MNK2),https://www.thermofisher.com/order/catalog/product/PV5607,PV5607
NEK11,NEK11 (FLJ23495),https://www.thermofisher.com/order/catalog/product/PV4647,PV4647
PIK3C2B,PIK3C2B (P13K-C2 BETA),https://www.thermofisher.com/order/catalog/product/PV5374,PV5374
PIK3C2G,PIK3C2G (PI3K-C2 gamma),https://www.thermofisher.com/order/catalog/product/A31081,A31081
PRKACB,PRKACB (PRKAC beta),https://www.thermofisher.com/order/catalog/product/PV6388,PV6388
PRKACG,PRKACG (PRKAC gamma),https://www.thermofisher.com/order/catalog/product/PV6391,PV6391
PRKCQ,PRKCQ (PKC THETA),https://www.thermofisher.com/order/catalog/product/P2996,P2996
STK17A,STK17A (DRAK1),https://www.thermofisher.com/order/catalog/product/PV3783,PV3783
STK17B,STK17B (DRAK2),https://www.thermofisher.com/order/catalog/product/PV6328,PV6328
STK3,STK3 (MST2),https://www.thermofisher.com/order/catalog/product/PV4805,PV4805
STK32B,STK32B (YANK2),https://www.thermofisher.com/order/catalog/product/PV6406,PV6406
STK32C,STK32C (YANK3),https://www.thermofisher.com/order/catalog/product/PV6409,PV6409
STK38L,STK38L (NDR2),https://www.thermofisher.com/order/catalog/product/PV6373,PV6373
TAOK2,TAOK2 (TAO1),https://www.thermofisher.com/order/catalog/product/PV3760,PV3760
