,x
1,ADCK1
2,BRSK1
3,BRSK2
4,CAMKK2
5,CDC42BPA
6,CDK11A
7,CDK12
8,CDK13
9,CDK16
10,CDK19
11,CDK20
12,CDKL5
13,COQ8A
14,CSNK1A1L
15,CSNK2A3
16,DCLK3
17,DSTYK
18,HIPK1
19,HIPK3
20,ICK
21,LMTK2
22,MAP3K15
23,MAP3K21
24,MARK1
25,MARK3
26,MKNK1
27,NEK1
28,NEK3
29,NEK8
30,NEK9
31,NUAK2
32,OBSCN
33,PAN3
34,PIP5K1C
35,RIOK2
36,RNASEL
37,SBK1
38,STK17B
39,STK19
40,TAOK1
41,TAOK2
42,TSSK2
43,VRK3
44,WNK3
45,ADCK2
46,ADCK5
47,ALPK2
48,ALPK3
49,BCKDK
50,CAMK1D
51,CAMK1G
52,CAMKK1
53,CAMKV
54,CDC42BPB
55,CDC42BPG
56,CDK10
57,CDK11B
58,CDK14
59,CDK15
60,CDK17
61,CDK18
62,CDKL1
63,CDKL2
64,CDKL3
65,CDKL4
66,CLK3
67,CLK4
68,COQ8B
69,CSNK1G1
70,CSNK1G2
71,CSNK1G3
72,CSNK2A2
73,DYRK1B
74,DYRK2
75,DYRK3
76,DYRK4
77,EEF2K
78,ERN2
79,HIPK4
80,LMTK3
81,LRRK1
82,LTK
83,MAP3K10
84,MAP3K14
85,MAPK15
86,MAPK4
87,MARK4
88,MAST2
89,MAST3
90,MAST4
91,MKNK2
92,NEK10
93,NEK11
94,NEK4
95,NEK5
96,NEK6
97,NEK7
98,NIM1K
99,NRBP2
100,NRK
101,PAK3
102,PAK5
103,PAK6
104,PDIK1L
105,PHKG1
106,PHKG2
107,PI4KA
108,PIK3C2B
109,PIK3C2G
110,PIP4K2C
111,PIP5K1A
112,PIP5K1B
113,PKMYT1
114,PKN3
115,PNCK
116,POMK
117,PRAG1
118,PRKACB
119,PRKACG
120,PRKCQ
121,PRPF4B
122,PSKH1
123,PSKH2
124,PXK
125,RIOK1
126,RIOK3
127,RPS6KC1
128,RPS6KL1
129,SBK2
130,SBK3
131,SCYL1
132,SCYL2
133,SCYL3
134,SGK494
135,SRPK3
136,STK17A
137,STK3
138,STK31
139,STK32A
140,STK32B
141,STK32C
142,STK33
143,STK36
144,STK38L
145,STK40
146,STKLD1
147,TBCK
148,TESK1
149,TESK2
150,TLK1
151,TLK2
152,TP53RK
153,TSSK1B
154,TSSK3
155,TSSK4
156,TSSK6
157,TTBK1
158,TTBK2
159,ULK4
160,VRK2
161,WEE2
162,WNK2
