gene_id,gene_symbol,name,in_manning,in_kinmap,in_uniprot_kinasedomain,in_IDG_darkkinases,n_pubmed_citations_2013to2018,pharos_designation,PDB,title,expMethod,deposition_date,last_modification_date,resolution,InChI,InChIKey,chemicalName,smiles,formula,molecularWeight
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,2AC5,Structure of human Mnk2 Kinase Domain mutant D228G,X-RAY DIFFRACTION,2005-07-18,2011-07-13,3.2,InChI=1S/Zn/q+2,PTFCDOFLOPIGGS-UHFFFAOYSA-N,ZINC ION,[Zn+2],Zn 2,65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,2AC3,Structure of human Mnk2 Kinase Domain,X-RAY DIFFRACTION,2005-07-18,2011-07-13,2.1,InChI=1S/Zn/q+2,PTFCDOFLOPIGGS-UHFFFAOYSA-N,ZINC ION,[Zn+2],Zn 2,65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CJY,Crystal Structure of Mnk2-D228G in complex with Inhibitor,X-RAY DIFFRACTION,2018-02-27,2018-05-09,3.05,"InChI=1S/C13H8N6O/c20-13-9-2-1-8(3-7(9)4-14-13)19-12-10-11(16-5-15-10)17-6-18-12/h1-6H,(H2,15,16,17,18,19);InChI=1S/Zn/q+2",PQHXLRLXDDKGGR-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,5-[(7H-purin-6-yl)amino]-1H-isoindol-1-one;ZINC ION,c1cc2c(cc1Nc3c4c(nc[nH]4)ncn3)C=NC2=O;[Zn+2],C13 H8 N6 O;Zn 2,264.242;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CJW,Crystal Structure of Mnk2-D228G in Complex With Inhibitor,X-RAY DIFFRACTION,2018-02-27,2018-05-09,3.38,InChI=1S/C11H8N4/c1-2-11-13-8-10(15(11)14-5-1)9-3-6-12-7-4-9/h1-8H;InChI=1S/Zn/q+2,JVTKTZKSPATBCI-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,"3-(pyridin-4-yl)imidazo[1,2-b]pyridazine;ZINC ION",c1cc2ncc(n2nc1)c3ccncc3;[Zn+2],C11 H8 N4;Zn 2,196.208;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CJ5,Crystal Structure of Mnk2-D228G in Complex With Inhibitor,X-RAY DIFFRACTION,2018-02-26,2018-05-09,2.8,"InChI=1S/C13H10N4O/c14-12(18)10-4-2-6-17-11(8-16-13(10)17)9-3-1-5-15-7-9/h1-8H,(H2,14,18);InChI=1S/Zn/q+2",WEFADYMRJJMXCA-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,"3-(pyridin-3-yl)imidazo[1,2-a]pyridine-8-carboxamide;ZINC ION",c1cc(cnc1)c2cnc3n2cccc3C(=O)N;[Zn+2],C13 H10 N4 O;Zn 2,238.245;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CK3,Co-crytsal Structure of MNK2 in Complex With an Inhibitor,X-RAY DIFFRACTION,2018-02-27,2018-05-09,2.9,"InChI=1S/ClH/h1H/p-1;InChI=1S/C13H12N4O/c1-8-11-6-9(2-3-10(11)13(18)16-8)17-12-4-5-14-7-15-12/h2-8H,1H3,(H,16,18)(H,14,15,17)/t8-/m1/s1;InChI=1S/Zn/q+2",VEXZGXHMUGYJMC-UHFFFAOYSA-M;OWEDOBFUVPKBNA-MRVPVSSYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,"CHLORIDE ION;(3R)-3-methyl-5-[(pyrimidin-4-yl)amino]-2,3-dihydro-1H-isoindol-1-one;ZINC ION",[Cl-];C[C@@H]1c2cc(ccc2C(=O)N1)Nc3ccncn3;[Zn+2],Cl -1;C13 H12 N4 O;Zn 2,35.453;240.261;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,2HW7,Crystal Structure of Mnk2-D228G in complex with Staurosporine,X-RAY DIFFRACTION,2006-08-01,2011-07-13,2.71,"InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m1/s1;InChI=1S/Zn/q+2",HKSZLNNOFSGOKW-FYTWVXJKSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,STAUROSPORINE;ZINC ION,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC;[Zn+2],C28 H26 N4 O3;Zn 2,466.531;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CKI,Co-crystal structure of MNK2 in Complex With Inhibitor,X-RAY DIFFRACTION,2018-02-28,2018-05-09,2.95,"InChI=1S/C13H13N5O2/c1-13(2)17-11(19)9-4-3-8(12(20)18(9)13)16-10-5-6-14-7-15-10/h3-7H,1-2H3,(H,17,19)(H,14,15,16);InChI=1S/Zn/q+2",YUDKTFUCCPOVGR-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,"3,3-dimethyl-6-[(pyrimidin-4-yl)amino]-2,3-dihydroimidazo[1,5-a]pyridine-1,5-dione;ZINC ION",CC1(NC(=O)C2=CC=C(C(=O)N21)Nc3ccncn3)C;[Zn+2],C13 H13 N5 O2;Zn 2,271.275;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CJH,Co-crystal structure of MNK2 in complex with an inhibitor,X-RAY DIFFRACTION,2018-02-26,2018-05-09,3.6,"InChI=1S/C18H13N3/c1-2-4-14(5-3-1)18-16-12-15(6-7-17(16)20-21-18)13-8-10-19-11-9-13/h1-12H,(H,20,21);InChI=1S/Zn/q+2",JSIJZTBLHULTDZ-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,3-phenyl-5-(pyridin-4-yl)-1H-indazole;ZINC ION,c1ccc(cc1)c2c3cc(ccc3[nH]n2)c4ccncc4;[Zn+2],C18 H13 N3;Zn 2,271.316;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CJE,Crystal Structure of Mnk2-D228G in complex with Inhibitor,X-RAY DIFFRACTION,2018-02-26,2018-05-09,3.36,"InChI=1S/C12H10N6O/c13-10(19)7-1-3-8(4-2-7)18-12-9-11(15-5-14-9)16-6-17-12/h1-6H,(H2,13,19)(H2,14,15,16,17,18);InChI=1S/Zn/q+2",HNZGNBCVBQTPNR-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,4-[(9H-purin-6-yl)amino]benzamide;ZINC ION,c1cc(ccc1C(=O)N)Nc2c3c([nH]cn3)ncn2;[Zn+2],C12 H10 N6 O;Zn 2,254.247;65.409
2872,MKNK2,MAP kinase interacting serine/threonine kinase 2,1,1,1,1,44,Tchem,6CK6,Crystal Structure of Mnk2-D228G in complex with Inhibitor,X-RAY DIFFRACTION,2018-02-27,2018-05-09,3.32,"InChI=1S/C17H20N6O2/c1-10-7-11(21-13-8-12(18)19-9-20-13)16(25)23-14(10)15(24)22-17(23)5-3-2-4-6-17/h7-9H,2-6H2,1H3,(H,22,24)(H3,18,19,20,21);InChI=1S/Zn/q+2",HKTBYUWLRDZAJK-UHFFFAOYSA-N;PTFCDOFLOPIGGS-UHFFFAOYSA-N,"6'-[(6-aminopyrimidin-4-yl)amino]-8'-methyl-2'H-spiro[cyclohexane-1,3'-imidazo[1,5-a]pyridine]-1',5'-dione;ZINC ION",CC1=C2C(=O)NC3(N2C(=O)C(=C1)Nc4cc(ncn4)N)CCCCC3;[Zn+2],C17 H20 N6 O2;Zn 2,340.38;65.409
